country,team_id,season,season_start_year,played,wins,draws,losses,goals_for,goals_against,clean_sheets,goal_diff,points
Haiti,2386,2023/24,2023,7,1,3,3,9,12,1,-3,6
Haiti,2386,2024/25,2024,7,6,1,0,30,6,3,24,19
Haiti,2386,2025/26,2025,4,1,1,2,5,4,1,1,4
IR Iran,22,2022/23,2022,25,17,2,6,57,18,15,39,53
IR Iran,22,2023/24,2023,15,12,2,1,39,12,5,27,38
IR Iran,22,2024/25,2024,2,2,0,0,7,1,1,6,6
IR Iran,22,2025/26,2025,8,3,3,2,11,6,4,5,12
Iraq,1567,2022/23,2022,25,10,10,5,27,22,11,5,40
Iraq,1567,2023/24,2023,15,7,5,3,28,19,4,9,26
Iraq,1567,2024/25,2024,4,1,0,3,2,6,1,-4,3
Iraq,1567,2025/26,2025,6,4,0,2,7,5,2,2,12
Japan,12,2022/23,2022,29,20,3,6,74,18,14,56,63
Japan,12,2023/24,2023,13,9,1,3,38,16,2,22,28
Japan,12,2024/25,2024,2,2,0,0,11,1,1,10,6
Japan,12,2025/26,2025,9,6,2,1,19,7,5,12,20
Jordan,1548,2022/23,2022,17,11,2,4,29,9,11,20,35
Jordan,1548,2023/24,2023,15,6,2,7,26,27,4,-1,20
Jordan,1548,2024/25,2024,4,2,1,1,5,8,1,-3,7
Jordan,1548,2025/26,2025,15,6,4,5,20,16,7,4,22
Korea Republic,17,2022/23,2022,30,19,7,4,62,23,18,39,64
Korea Republic,17,2023/24,2023,14,5,6,3,26,16,4,10,21
Korea Republic,17,2024/25,2024,1,1,0,0,1,0,1,1,3
Korea Republic,17,2025/26,2025,9,6,1,2,14,8,6,6,19
Mexico,16,2022/23,2022,32,15,9,8,38,27,16,11,54
Mexico,16,2023/24,2023,18,9,5,4,34,19,8,15,32
Mexico,16,2024/25,2024,13,7,2,4,17,11,8,6,23
Mexico,16,2025/26,2025,14,6,5,3,17,16,7,1,23
Morocco,31,2022/23,2022,20,12,5,3,38,13,12,25,41
Morocco,31,2023/24,2023,21,15,4,2,39,10,13,29,49
Morocco,31,2024/25,2024,10,7,2,1,17,7,4,10,23
Morocco,31,2025/26,2025,24,21,3,0,58,6,19,52,66
Netherlands,1118,2022/23,2022,15,9,4,2,33,20,4,13,31
Netherlands,1118,2023/24,2023,8,6,0,2,17,7,5,10,18
Netherlands,1118,2024/25,2024,26,14,8,4,68,25,11,43,50
New Zealand,4673,2022/23,2022,11,5,1,5,19,9,5,10,16
New Zealand,4673,2023/24,2023,7,1,3,3,5,11,1,-6,6
New Zealand,4673,2024/25,2024,9,5,2,2,20,5,6,15,17
New Zealand,4673,2025/26,2025,8,1,1,6,5,12,1,-7,4
Norway,1090,2022/23,2022,10,6,2,2,21,9,4,12,20
Norway,1090,2023/24,2023,10,5,2,3,22,12,3,10,17
Norway,1090,2024/25,2024,18,13,2,3,58,18,8,40,41
Norway,1090,2025/26,2025,2,1,1,0,2,1,1,1,4
Panama,11,2022/23,2022,33,15,9,9,54,36,13,18,54
Panama,11,2023/24,2023,18,10,4,4,32,19,4,13,34
Panama,11,2024/25,2024,11,4,1,6,12,19,2,-7,13
Panama,11,2025/26,2025,5,3,1,1,12,10,1,2,10
Paraguay,2380,2022/23,2022,25,5,9,11,17,35,7,-18,24
Paraguay,2380,2023/24,2023,2,1,0,1,4,3,1,1,3
Paraguay,2380,2024/25,2024,6,1,1,4,4,11,2,-7,4
Paraguay,2380,2025/26,2025,4,1,1,2,5,7,0,-2,4
Portugal,27,2022/23,2022,12,7,1,4,27,9,5,18,22
Portugal,27,2023/24,2023,10,10,0,0,36,2,9,34,30
Portugal,27,2024/25,2024,26,15,6,5,60,29,7,31,51
Qatar,1569,2022/23,2022,22,13,5,4,34,18,11,16,44
Qatar,1569,2023/24,2023,21,10,5,6,29,25,7,4,35
Qatar,1569,2024/25,2024,4,0,2,2,4,6,0,-2,2
Qatar,1569,2025/26,2025,7,0,2,5,5,14,0,-9,2
Saudi Arabia,23,2022/23,2022,31,16,9,6,41,20,17,21,57
Saudi Arabia,23,2023/24,2023,13,3,3,7,14,19,3,-5,12
Saudi Arabia,23,2024/25,2024,8,5,1,2,15,9,3,6,16
Saudi Arabia,23,2025/26,2025,14,7,2,5,15,13,3,2,23
Scotland,1108,2022/23,2022,9,4,3,2,15,10,3,5,15
Scotland,1108,2023/24,2023,10,5,2,3,19,15,4,4,17
Scotland,1108,2024/25,2024,21,8,4,9,27,32,6,-5,28
Scotland,1108,2025/26,2025,2,1,0,1,5,3,1,2,3
Senegal,13,2022/23,2022,23,13,5,5,35,20,9,15,44
Senegal,13,2023/24,2023,23,16,6,1,48,12,13,36,54
Senegal,13,2024/25,2024,11,6,5,0,14,4,7,10,23
Senegal,13,2025/26,2025,21,12,4,5,37,16,11,21,40
South Africa,1531,2022/23,2022,15,9,4,2,18,11,8,7,31
South Africa,1531,2023/24,2023,29,12,13,4,37,21,13,16,49
South Africa,1531,2024/25,2024,14,4,9,1,18,13,5,5,21
